"38 Special","Flashback"
"AC/DC","Back in Black"
"AC/DC","Dirty Deeds Done Dirt Cheap"
"AC/DC","Highway to Hell"
"AC/DC","The Razors Edge"
"Aerosmith","20th Century Masters: The Millennium Collection: The Best of Aerosmith"
"Aerosmith","Aerosmith"
"Aerosmith","Armageddon: The Album"
"Aerosmith","Boogie Nights #2 - More Music from the Original Motion Picture"
"Aerosmith","The CD of JB: Sex Machine & Other Soul Classics"
"Aerosmith","Devil's Got a New Disguise: The Very Best of Aerosmith"
"Aerosmith","Get a Grip"
"Aerosmith","Get Your Wings"
"Aerosmith","Grease: The Original Soundtrack from the Motion Picture"
"Aerosmith","Greatest Hits I, II & III: The Platinum Collection"
"Aerosmith","Guardians Of The Galaxy [Deluxe Editon]"
"Aerosmith","Guitar Rock: 1978-1979"
"Aerosmith","Honkin’ on Bobo"
"Aerosmith","Legends Of Rock 'n' Roll"
"Aerosmith","Made in America"
"Aerosmith","The Many Faces of Queen - A Journey Throught the Inner World of Queen"
"Aerosmith","Nine Lives"
"Aerosmith","Office Party"
"Aerosmith","Permanent Vacation"
"Aerosmith","Pump"
"Aerosmith","Romantic Guitar Favourites"
"Aerosmith","Toys in the Attic"
"Air Supply","Air Supply Greatest Hits"
"Alice Cooper","Alice Cooper Greatest Hits"
"The Allman Brothers Band","20th Century Masters: The Millennium Collection: The Best of The Allman Brothers Band"
"America","An Introduction To America"
"Animotion","20th Century Masters: The Millennium Collection: The Best of Animotion"
"Animotion","Animotion"
"Asia","Asia"
"The B-52s","Cosmic Thing"
"B.B. King","Legends Of Rock 'n' Roll"
"Backstreet Boys","Millennium"
"Bad Company","10 From 6"
"Bad Company","Bad Company"
"Bad Company","Holy Water"
"The Beach Boys","Little Deuce Coupe and Other Classic Songs of Drivin' and Draggin'"
"The Beach Boys","Surfin' Safari"
"The Beatles","Abbey Road"
"The Beatles","Beatles for Sale"
"The Beatles","A Hard Day's Night"
"The Beatles","Help!"
"The Beatles","Help! Original Motion Picture Soundtrack"
"The Beatles","Let It Be"
"The Beatles","Magical Mystery Tour"
"The Beatles","Please Please Me"
"The Beatles","Revolver"
"The Beatles","Rubber Soul"
"The Beatles","Sgt. Pepper's Lonely Hearts Club Band"
"The Beatles","White Album"
"The Beatles","With The Beatles"
"The Beatles","Yellow Submarine"
"Bee Gees","Bee Gees Greatest Hits"
"Billy Idol","Vital Idol"
"Billy Joel","The Bridge"
"Billy Joel","The Essential Billy Joel"
"Billy Joel","River of Dreams"
"Billy Joel","Storm Front"
"Billy Squier","Don't Say No"
"The Black Crowes","Shake Your Money Maker"
"Black Sabbath","Greatest Hits 1970-1978"
"Black Sabbath","Paranoid"
"Blondie","No Exit"
"Blue Öyster Cult","Agents of Fortune"
"Bob Seger","Ride Out"
"Bob Seger & the Silver Bullet Band","Against the Wind"
"Bob Seger & the Silver Bullet Band","Bob Seger & the Silver Bullet Band Greatest Hits"
"Bob Seger & the Silver Bullet Band","Like a Rock"
"Bob Seger & the Silver Bullet Band","Night Moves"
"Bob Seger & the Silver Bullet Band","Stranger in Town"
"Bob Seger & the Silver Bullet Band","Ultimate Hits: Rock and Roll Never Forgets"
"Bon Jovi","Bon Jovi Greatest Hits"
"Bon Jovi","Bounce"
"Bon Jovi","Crush"
"Bon Jovi","Have a Nice Day"
"Bon Jovi","Lost Highway"
"Bon Jovi","New Jersey"
"Bon Jovi","One Wild Night: Live 1985-2001"
"Bon Jovi","Slippery When Wet"
"Bon Jovi","This House Is Not for Sale"
"Boston","Boston"
"Boston","Boston Greatest Hits"
"Boston","Don’t Look Back"
"Boston","Third Stage"
"Boston","Walk On"
"Brad Paisley","Hits Alive"
"Brad Paisley","Moonshine In The Trunk"
"Bryan Adams","Cuts Like a Knife"
"Bryan Adams","Icon"
"Bryan Adams","Reckless"
"Bryan Adams","Waking Up the Neighbours"
"Buddy Holly","Greatest Hits"
"Carl Orff","The Doors (Movie)"
"The Cars","Candy-O"
"The Cars","The Cars"
"The Cars","The Cars Greatest Hits"
"The Cars","Heartbeat City"
"The Cars","Heartbeat City (Remastered)"
"The Cars","Shake It Up"
"Cat Stevens","Cat Stevens Greatest Hits"
"Cat Stevens","Guardians Of The Galaxy (Awesome Mix Vol. 2)"
"Cat Stevens","Tea for the Tillerman"
"Cheap Trick","At Budokan"
"Cheap Trick","The Greatest Hits"
